City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
339,Buta,CD,80.96,light rain,2.7858,24.73,Hôtel BOPANDO
340,Touros,BR,85.91,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
342,Siocon,PH,80.53,light rain,7.7061,122.1353,ABS Hotel
346,Kongolo,CD,81.93,light rain,-5.3833,27.0,GUEST HOUSE OASIS
349,Pitimbu,BR,79.39,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
353,Nabire,ID,77.29,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
358,Tautira,PF,75.83,light rain,-17.7333,-149.15,Pension Oaoa
361,Xinyu,CN,78.46,scattered clouds,27.8043,114.9334,Xinyu Beihu Hotel
362,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
366,Owando,CG,82.58,light rain,-0.4819,15.8999,Exaunel Hotel Owando
368,Itoman,JP,77.02,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
370,Gushikawa,JP,76.23,light rain,26.3544,127.8686,Kirari Guest House
372,Manokwari,ID,80.2,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
373,Cavalcante,BR,82.44,heavy intensity rain,-13.7975,-47.4583,Pousada Vila dos Ipês
374,Tanete,ID,76.48,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
379,Sakakah,SA,80.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
381,Srandakan,ID,78.24,heavy intensity rain,-7.9386,110.2506,Puri Brata
383,Fare,PF,77.86,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
384,Cartagena,CO,76.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
385,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
386,Mayumba,GA,80.01,light rain,-3.432,10.6554,LIKWALE LODGE
388,Sumbe,AO,79.12,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
391,Bonthe,SL,86.77,light rain,7.5264,-12.505,Bonthe Holiday Village
392,Victoria,HK,79.18,clear sky,22.2855,114.1577,Mini Central
394,Itaituba,BR,84.36,clear sky,-4.2761,-55.9836,Hotel Campos
398,Dodoma,TZ,89.44,scattered clouds,-6.1722,35.7395,Royal Village Hotel
402,Menongue,AO,87.53,overcast clouds,-14.6585,17.691,Ritz Lauca
409,Chiredzi,ZW,84.65,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
411,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
413,Mogadishu,SO,85.87,few clouds,2.0371,45.3438,Hotel Juba
414,Novo Aripuana,BR,89.51,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
415,Reconquista,AR,81.86,few clouds,-29.15,-59.65,Grand Hotel
416,Acapulco,MX,76.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
417,Makakilo City,US,75.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
418,Samarai,PG,80.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
419,Namatanai,PG,78.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
421,Belmonte,BR,81.45,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
422,Iquitos,PE,75.24,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
429,Catamarca,AR,79.59,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
430,Esmeralda,CU,76.12,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
432,Itarema,BR,83.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
433,Presidencia Roque Saenz Pena,AR,80.89,broken clouds,-26.7852,-60.4388,Hotel Gualok
438,Bambous Virieux,MU,78.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
439,Mahajanga,MG,86.02,scattered clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
440,Nova Olinda Do Norte,BR,89.24,overcast clouds,-3.8881,-59.0942,Casa Juazeiro
442,Bac Lieu,VN,79.43,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
444,Ciudad Bolivar,VE,81.12,few clouds,8.1222,-63.5497,Hotel Edi
447,Isangel,VU,77.59,scattered clouds,-19.55,169.2667,Tanna Lodge
449,Tabou,CI,82.24,light rain,4.423,-7.3528,hotêl doufoulougou
453,Charkhi Dadri,IN,75.6,clear sky,28.6,76.2667,Ombir Sheoran
461,Xapuri,BR,80.08,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
466,Plaridel,PH,84.18,few clouds,14.8872,120.8572,St. Agatha Resort
467,Lasem,ID,80.51,moderate rain,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
469,Cap Malheureux,MU,78.48,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
472,Guapo,BR,75.58,overcast clouds,-16.8306,-49.5319,Lar de idosos de Guapó
473,Iracoubo,GF,82.13,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
474,Ambon,ID,81.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
483,Kasongo-Lunda,CD,76.21,light rain,-6.4667,16.8167,
487,Axim,GH,83.17,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
489,Lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
490,Bilma,NE,85.05,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
492,Coruripe,BR,82.49,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
494,The Valley,AI,82.26,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
498,Kalmunai,LK,79.77,light rain,7.4167,81.8167,VS Villa
500,Diyarb Najm,EG,77.94,clear sky,30.7542,31.4393,قاعه ساندي للافراح
501,Golfito,CR,75.09,overcast clouds,8.639,-83.166,Banana Bay Marina
